Korean,Romanize,English
시간,[sigan],time
남자,[namja],man
방법,[bangbeop],way
사람들,[saramdeul],people
인생,[insaeng],life
날,[nal],day
일,[il],work
전화,[jeonhwa],call
밤,[bam],night
집,[jip],home
생각,[saenggak],thought
돈,[don],money
이름,[ireum],name
아버지,[abeoji],father
남자,[namja],guy
장소,[jangso],place
느낌,[neukkim],feel
여자,[yeoja],girl
집,[jip],house
왼쪽,[oenjjok],left
오른쪽,[oreunjjok],right
어머니,[eomeoni],mother
과정,[gwajeong],course
아빠,[appa],dad
세계,[segye],world
아들,[adeul],son
자동차,[jadongcha],car
여자,[yeoja],woman
친구,[chingu],friend
마음,[maeum],mind
머리,[meori],head
엄마,[eomma],mom
소년,[sonyeon],boy
직업,[jigeop],job
아기,[agi],baby
가족,[gajok],family
방,[bang],room
형제,[hyeongje],brother
머리,[meori],head
아이디어,[aideia],idea
아내,[anae],wife
시작,[sijak],start
문,[mun],door
조각,[jogak],bit
문제,[munje],matter
달리기,[dalligi],run
학교,[hakgyo],school
놀이,[nori],play
문제,[munje],problem
끝,[kkeut],end
전화기,[jeonhwagi],phone
희망,[huimang],hope
변명,[byeonmyeong],excuse
얼굴,[eolgul],face
차례,[charye],turn
경찰,[gyeongchal],police
마음,[maeum],heart
걱정,[geokjeong],worry
사업,[saeop],business
시계,[sigye],watch
년,[nyeon],year
손,[son],hand
의사,[uisa],doctor
앉기,[anjgi],sit
초,[cho],second
아이,[ai],kid
급여,[geubyeo],pay
물,[mul],water
죽음,[jugeum],death
물건,[mulgeon],stuff
분,[bun],minute
부분,[bubun],part
사람,[saram],person
음료,[eumryo],drink
변화,[byeonhwa],change
타격,[tageok],hit
확인,[hwagin],check
음악,[eumak],music
안,[an],inside
잠,[jam],sleep
나의,[naui],mine
거래,[georae],deal
점,[jeom],point
몸,[mom],body
친애하는,[chinaehaneun],dear
기회,[gihoi],chance
가까이,[gakkai],close
파티,[pati],party
딸,[ttal],daughter
단어,[daneo],word
즐거움,[jeulgeoum],fun
번호,[beonho],number
이야기,[iyagi],story
세트,[seteu],set
소망,[somang],wish
남편,[nampyeon],husband
불,[bul],fire
싸움,[ssawum],fight
휴식,[hyusik],rest
순간,[sungan],moment
주,[ju],week
서기,[seogi],stand
게임,[geim],game
절단,[jeoldan],cut
여동생,[yeodongsaeng],sister
아이,[ai],child
측면,[cheugmyeon],side
피,[pi],blood
진실,[jinsil],truth
여자,[yeoja],lady
총격,[chonggyeok],shot
전쟁,[jeonjaeng],war
휴식,[hyusik],break
걷기,[geodgi],walk
이유,[iyu],reason
고난,[gonan],trouble
도시,[dosi],city
마을,[maeul],town
신뢰,[sinloe],trust
질문,[jilmun],question
사무실,[samusil],office
절반,[jeolban],half
환영,[hwanyeong],welcome
커플,[keopeul],couple
서두름,[seodureum],hurry
꿀,[kkul],honey
권력,[gwollyeok],power
침대,[chimdae],bed
앞,[ap],front
답,[dap],answer
총,[chong],gun
줄,[jul],line
팀,[tim],team
뉴스,[nyuseu],news
선장,[seonjang],captain
증오,[jeungo],hate
개,[gae],dog
음식,[eumsik],food
빛,[bit],light
명령,[myeongryeong],order
국가,[gukga],country
선택,[seontaek],pick
사실,[sasil],fact
검정,[geomjeong],black
상사,[sangsa],boss
원인,[wonin],cause
저녁,[jeonyeok],dinner
약속,[yaksok],promise
계획,[gyehoek],plan
종류,[jongryu],sort
책,[chaek],book
시간,[sigan],hour
삼촌,[samchon],uncle
금고,[geumgo],safe
총격,[chonggyeok],shoot
접촉,[jeopchok],touch
회사,[hoesa],company
과거,[gwageo],past
암캐,[amkae],bitch
소리,[sori],sound
머리칼,[meorikal],hair
인간,[ingan],human
운전,[unjeon],drive
행운,[haengun],luck
정상,[jeongsang],top
승리,[seungri],win
통제,[tongje],control
추위,[chuwi],cold
공기,[gonggi],air
주인,[juin],master
춤,[chum],dance
섹스,[seksu],sex
다른,[dareun],others
병원,[byeongwon],hospital
거리,[geori],street
살인,[salin],murder
거짓말,[geojitmal],lie
꿈,[kkum],dream
잡기,[jabgi],catch
달콤한,[dalkomhan],sweet
감각,[gamgak],sense
내기,[naegi],bet
목소리,[moksori],voice
표지,[pyoji],sign
조용한,[joyonghan],quiet
느낀,[neukkin],felt
